127.0.0.1 - - [12/Sep/2018:14:51:43 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:51:45 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:51:45 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:51:45 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:51:49 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:17 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:23 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:23 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:23 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:23 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:23 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:32 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:32 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:34 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:41 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:41 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 200 1168307
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:41 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:51 +0900] "GET /sample-web/SearchItemAction.action?pageNo=2&categoryId=2 HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:51 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:55 +0900] "GET /sample-web/SearchItemAction.action?pageNo=3&categoryId=2 HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:55 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:58 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:52:58 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:05 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:05 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:10 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:10 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:20 +0900] "POST /sample-web/LoginAction.action HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:20 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:27 +0900] "POST /sample-web/MyPageAction HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:27 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:31 +0900] "POST /sample-web/PurchaseHistoryAction.action HTTP/1.1" 200 2823
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:53:31 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
